index	sentence1	sentence2	label
33	If you love cats. If you have lost a cat. If you are just a decent person. Please consider supporting Cats Haven. They’re a no-kill shelter for damaged, elderly &amp; broken kitties. We got our Gitzo there 8 years ago. They’re struggling because of the Covid. <url>	Is this tweet offensive?	0
34	<user> <user> shut up, first y’all call us aliens and r*pist. WE DONT WANT YALL	Is this tweet offensive?	1
35	Police Officers..You are not above the law!  I REPEAT!  YOU ARE NOT ABOVE THE LAW!  To the A-Hole Officers:  Stop inciting violence. You are just as bad as the looters.  I take that back...You are WORSE...far far worse.  #BlueLivesMatter  #BlackLivesMatter  #whitelivesmattermore	Is this tweet offensive?	0
36	<user> Take your 'Virus' lies and Stick em'.	Is this tweet offensive?	0
37	<user> <user> This guy is a troll	Is this tweet offensive?	1
38	<user> <user> <user> <user> <user> I mean, Trump retweets White Power videos, retweets well-known white supremacists, and invites the Confederate flag to his rallies but you don’t seem to mind that at all? #Cult45🤪	Is this tweet offensive?	0
39	Daily positive test rate of *19.7%*.  Holy crap.	Is this tweet offensive?	0
40	<user> <user> <user> <user> <user> The moment you read ChampagneSane’s latest tweet about you dad ass. 💕 <url>	Is this tweet offensive?	1
41	No, trump cannot develop empathy. He is a sociopath. But he can pretend he is fighting for us when he is battling Covid-19 himself, getting the best medical care available while millions are going to lose their healthcare because of trump. #SaveACA  #TrumpVirusDeathToll210K <url>	Is this tweet offensive?	1
42	This is why I fuck with SF/BayArea we will ALWAYS fight &amp; stand up for what’s right! That’s on GOD!!!!! 🖤🖤🖤 #BLM #BlackLivesMatter #sfprotest	Is this tweet offensive?	1
43	What bull shit #VoteRedToSaveAmerica	Is this tweet offensive?	1
44	<user> <user> so you want the us to be sick and weak.. yikes thats so patriotic of you huh	Is this tweet offensive?	0
45	OFFICIAL Gianna Floyd Fund (George Floyd's child) #GeorgeFloyd #HerDaddyChangedTheWorld  <url> 	Is this tweet offensive?	0
46	<user> <user> <user> <user> <user> <user> <user> Because you're a moron	Is this tweet offensive?	1
47	<user> <user> <user> <user> That's not what President Trump paid in taxes-Fake News!	Is this tweet offensive?	0
48	<user> <user> <user> Manipulate this, bot.  And also I’m blocking your troll a** <url>	Is this tweet offensive?	1
49	<user> <user> This clown has been spreading more than COVID-19, but whatever is spewing from his mouth, we all know #TrumpIsPatientZero	Is this tweet offensive?	0
50	Trump Waited a Whole Week Before Blaming the Coronavirus on Obama   Vanity Fair <url>	Is this tweet offensive?	0
51	Why i HATE big pharma	Is this tweet offensive?	0
52	<user> <user> <user> As a progressive I hate to tell you that it wouldn't have changed one bit.	Is this tweet offensive?	0
53	<user> As mom of 3 boys...the message is loud&amp;clear! Police murdered George Floyd! If that were my son I would move the earth to seek justice and change!!! I FEEL GUTTED! I AM SICK ABOUT THIS! I Now that I see, know I mourn in SOLIDARITY!! #JusticeForGeorgeFloyd	Is this tweet offensive?	0
54	Wow! Folks in London are running the cops off the block!  #BlackLivesMatter    <url>	Is this tweet offensive?	0
55	STOP SCROLLING   his name was George Floyd and he couldn’t breathe. we need justice. #BlackLivesMatter <url>	Is this tweet offensive?	0
56	He was also murdered. Most people agree Paul. It’s the fucking up enire communities that’s a problem. Also white liberal Antifa riding on our black youths backs to use them as an excuse is terrible. <url>	Is this tweet offensive?	1
57	Karen, shut up. Trump is the sore loser	Is this tweet offensive?	1
58	A damn beautiful force of nature ✊🏽✊🏾✊🏿  #BreonnaTaylorWasMurdered #BlackLivesMattter	Is this tweet offensive?	0
59	<user> Did he wear black face for it? <user> <user> #BlackLivesMatter	Is this tweet offensive?	0
60	<user> <user> I am with you!	Is this tweet offensive?	0
61	Just stop. This isn’t about being grammatically correct. It’s about understanding that there are some things you can NEVER understand. Just shut up and help. Being better helps. Listening helps. Help. #BlackLivesMatter #WhiteLivesMatter #AllLivesMatter	Is this tweet offensive?	0
62	one of the only good things about this year is the string of humiliations it seems like 2020 is lining up for the dipshit in chief.	Is this tweet offensive?	1
63	Please if u do not support the black lives Mather movement unfollow me now. Dont give me the all lives Mather reply. Yes off course they do but that’s not the point. #BlackLivesMatter <url>	Is this tweet offensive?	0
64	<user> Dude, I freaking love you !!	Is this tweet offensive?	0
65	We know, that's why a lot of people are getting ready to dump Facebook wholesale for being one of the very reasons we are even in this mess to begin with. They are- like Twitter itself- the super spreaders of right wing disinformation and lies.	Is this tweet offensive?	0
66	Biden the liar…still <url>	Is this tweet offensive?	1
67	<user> <user> If you don't like dogs there is something seriously wrong with you imo.	Is this tweet offensive?	0
68	Scenes on Bay Bridge. #BlackLivesMatter    <url> 	Is this tweet offensive?	0
69	<user> <user> <user> <user> They go hand-in-hand. Even now Chauvin’s fellow cops are saying he should be reinstated. Do a little light reading on Minneapolis’ third precinct.	Is this tweet offensive?	0
70	<user> <user> He was pressing Obama for his	Is this tweet offensive?	0
71	<user> <user> <user> Did <user> condemn Antifa?	Is this tweet offensive?	0
72	<user> Unless your able to travel into an alternate reality where Biden was president instead of Trump during COVID-19, you will never know how many deaths would have been under Biden. Nice try using 227k deaths as a political tool, you pathetic twat.	Is this tweet offensive?	1
73	Watch this!! If Rayshard deserved to die because he pointed a taser at police, should non-violent protesters be allowed to shoot police who injured them with tear gas and rubber bullets? #RayshardBrooks #BlackLivesMatter #BLACK_LIVES_MATTER #NoJusticeNoPeace	Is this tweet offensive?	0
74	We need to be aware and concerned, acting with the mitigation measures known to science to WORK.   I really wish people weren’t assholes on the internet - especially COVID-deniers.   It helps nobody.	Is this tweet offensive?	1
75	Just gonna sit this here #BLM #BlackLivesMatter <url>	Is this tweet offensive?	0
76	Intercede for Susan Osborn and her autistic son Noah, 17, whom she hasn't seen since March 9 because he's in a Covid-19 locked-down institution. READ THE ARTICLE: <url> <url>	Is this tweet offensive?	0
77	You are a damn hero - and we will support you <user> John Boyega George Floyd protest London speech in full: Star Wars actor'... <url> via <user>	Is this tweet offensive?	0
78	This is the fucking problem... idiots who are not even black doing dumb shit and putting the blame on POC. Black lives matter &amp; THEY CAN PROTEST/RIOT &amp; EXPRESS THEMSELVES HOW THEY SEE FIT. If your gonna protest have balls and stand with it.	Is this tweet offensive?	1
79	<user> Just another one of your many lies. The House passed a bill weeks ago for covid 19 economic relief and it has just SAT on McConnell's desk. He and the Republicans are to blame NOT the Democrats.	Is this tweet offensive?	0
80	What a joke, Trump speaks for the first time in days and says nothing but the recycled shit that he’s been spewing for months. Mentioned George Floyd once saying it was a great day for George, how’s that, George is dead, there will be no more great days for	Is this tweet offensive?	1
81	<user> Science, like a baby in the womb is a actual human being? Because that’s what science says..... or when a male is born with a dick, he’s a male and not a female. That science?? Or is there another science I don’t know about you corrupt hack.	Is this tweet offensive?	1
82	America NOW knows the TRUTH from the interview on <user> about lying <user> The fake news media will not report the FACTS! <user> <user> <user>  <user> <user> <user> <user> <user> <user> <user> <user>	Is this tweet offensive?	0
83	"""If you still can vote for this lying clown then invite me over for some nut kicking  """"Rochambeau."""" I'll go first because it's obvious that #MAGA2020 enjoy getting their groins demolished..."""	Is this tweet offensive?	1
84	<user> By cheating. That's the only way.	Is this tweet offensive?	0
85	Lol remember at the beginning of Covid when I thought we still would get two nights of Slander at Mission in May 😂	Is this tweet offensive?	0
86	<user> <user> Isn't Oprah a child trafficker? What happened at her girls school in Africa? She's really chummy with Weinstein. Makes me wonder 🤔	Is this tweet offensive?	1
87	Yeah, this is sick.   Not sic.   Sick.	Is this tweet offensive?	0
88	Remember <user> wants to keep abortion but would ban straws and limit the amount of red meat we can eat if she had her way.    #LiberalLunacy	Is this tweet offensive?	0
89	"<user> <user> Pence won't simply get ""Drag"" but ""Dug and Buried"" with no explaining themselves out from this four-year hell his boss(senate republicans also) put our country in of their own arrogant and dangerous making.. #KamalaHarris"	Is this tweet offensive?	1
90	the new green deal is such bs. Way too expensive. america is already in debt from covid and dumbass biden wants to pull 100 trillion out of our asses. The american dollar will be lose its value.	Is this tweet offensive?	1
91	AGAIN why schools should not be opened! If the school officials are doing Zoom meetings to see if schools should be back in session then the children and teachers shouldn’t be back in the classroom doing face-to-face meetings. Common fucking sense honestly.	Is this tweet offensive?	1
92	<user> <user> <user> Chris Wallace is a horrible debate moderator. Debates need someone who has a level head <user>	Is this tweet offensive?	0
93	Video would’ve been 20 secs 🤦🏽‍♂️	Is this tweet offensive?	0
94	I am black first. I am a black cosplayer second.  And #blacklivesmatter	Is this tweet offensive?	0
95	These people are ghouls. Absolute ghouls	Is this tweet offensive?	1
96	<user> <user> <user> <user> <user> girl please shut up	Is this tweet offensive?	1
97	we need a president to stop this!!	Is this tweet offensive?	0
98	<user> <user> Dude. Not masks alone we need to act like we're Covid positive already - social distancing, washing hands constantly, avoiding crowds and public restrooms. Everyone else is getting back to somewhat normal life and you dicks are going to keep us infected forever.	Is this tweet offensive?	1
99	NFL is going to end up the same way if they don't get their shit together.	Is this tweet offensive?	1
100	The race hustle is a game of great antiquity.	Is this tweet offensive?	0
101	Hey!  <user> Can you settle an argument for us?  What the heck is this?👇👇👇👇👇	Is this tweet offensive?	0
102	<user> Joe u were lying the whole time smh trump 2020	Is this tweet offensive?	0
103	"We are all same  ""I can't breath""-George Floyd  Respect yourself, Respect your family, Respect your community, Respect human can save mankind.  #Positive #Thought #Motivation #attitude #builders  #Think #influence <url> "	Is this tweet offensive?	0
104	"""Go to hell and get a job"":  Tommy Tuberville is fired up after beating Doug Jones in Alabama's U.S. Senate election <url>  #ElectionNight #Elections2020 <user> <url>"	Is this tweet offensive?	0
105	that's a madcow for you	Is this tweet offensive?	0
106	<user> <user> Thank you for your hate.  I am sorry for you and your hate that this world is trying to heal in the name of George Floyd and yet you use hate as a weapon!  Love you anyway!	Is this tweet offensive?	0
107	Trump declares himself 'immune' to Covid-19. His doctors won't say when he last tested negative.: <url> via <user>	Is this tweet offensive?	0
108	<user> <user> These are all of the black men you arrested for non-violent crimes. You are a shameful and dishonest person. You are anti-science and think there are 52 genders. Something is not right in your mind and you have no morals and performed orals on Willie Brown #KamalaHarris #Biden <url>	Is this tweet offensive?	1
109	Breaking News: NCHSAA ends coronavirus dead period, high school sports resume with restrictions June 15 <url>	Is this tweet offensive?	0
110	Wow omg 😱😱	Is this tweet offensive?	0
111	So this racist, soulless mother fucker knew exactly how deadly #COVID was &amp; simply decided that it didn’t help him? 190,000 ppl dead &amp; most of this could have been mitigated? Seriously? <user> you have blood on your hands. None of this had to happen	Is this tweet offensive?	1
112	I grew up in South Auckland.  My last year at school, if I wagged, there was no chance of getting stopped by the cops. But Māori kids were. A lot. Why? These kids weren’t inherently bad, like I sure as hell was not an angel. So what was the difference?🤔 <url>	Is this tweet offensive?	0
113	RIP Philadelphia when the sun goes down tonight.	Is this tweet offensive?	0
114	<user> Who’s ever running this account needs to be fired this is some brutally bad stuff.	Is this tweet offensive?	1
115	<user> Drop dead you phucking criminal.	Is this tweet offensive?	1
116	Hey <user> not everything is about you and your garbage family	Is this tweet offensive?	1
117	Hey stupids if you don't like the United States you are FREE to leave and live anywhere you want...	Is this tweet offensive?	1
118	The decision to start temperature testing seems such a no-brainer that, of all the accusations that can be levelled at the handling of this pandemic, I feel this one stands alone as the biggest cock up to date. #Coronavirus <url>	Is this tweet offensive?	1
119	<user> <user> <user> 7,800 Americans die per day... you don’t care about the other 7,000 I see	Is this tweet offensive?	0
120	Does this mask make my face look fat? #COVID19 #faceisthenewbutt #MaskUp <url>	Is this tweet offensive?	1
121	Seriously? What an idiot. 🙄🙄🙄 he’s now politicizing wearing a mask??? Hasn’t he killed enough people with his ignorance? <url>	Is this tweet offensive?	1
122	I had to educate my brother who said the #BlackLivesMatter is a democratic ploy. FUCK THAT! They are us. We are theme educate your family and the people around you.	Is this tweet offensive?	1
123	If #BlackLivesMatter want a race war, I'll attend every ficking battle. One of our lads has had his throat slit in the riots in London. BLM, you've raised race tensions on a scale never seen before.   What is your goal?	Is this tweet offensive?	1
124	Debunked NUMEROUS times!	Is this tweet offensive?	0
125	<user> Pray for a national response to Covid. Pray for police not to shoot black people in the back. Pray for the kids kept in cages.	Is this tweet offensive?	0
126	Night Rogue has a message ✊🏿✊🏿 #blacklivesmatter <url>	Is this tweet offensive?	0
127	"<user> <user> <user> And the 4 policemen were arrested and charged as per the law. George Floyd tried to use counterfeit money. He has a rap sheet as long as your arm and held a gun to a pregant womans belly while his 4 ""pals'"" raided her house. A saint he aint!"	Is this tweet offensive?	0
128	boy FUCK you	Is this tweet offensive?	1
129	Minneapolis City Council Unanimously Votes For Community-Based ‘Alternatives to Policing’ <url> 	Is this tweet offensive?	0
130	Who said trump was in his right mind?	Is this tweet offensive?	0
131	We really gotta get rid of the electoral college.	Is this tweet offensive?	0
132	populations live in crowded spaces, sometimes against their will, and are often more likely to be killed by the virus.  <url>	Is this tweet offensive?	0
133	Super Spreader Trump <url>	Is this tweet offensive?	1
134	BICTH and? what's that gonna do now?	Is this tweet offensive?	1
135	😭😭😭😭😭 this why trump gonna win again.	Is this tweet offensive?	0
136	I hate that society has taught us to view incarcerated people as less than the second they enter prison. There are so many flaws in the judicial system that put many people here for bullshit reasons.	Is this tweet offensive?	1
137	<user> and <user> look like two morons verbally masturbating-they talk only to hear themselves sound important..ok..well maybe they also want the fat man in the oval office to hear too. They sound moronic and foolish, how do advertisers support this crap Judge?	Is this tweet offensive?	1
138	Covid test should be free......How tf isnt this basic public health advice???  Like this isn’t that fucking hard.	Is this tweet offensive?	0
139	Boycott #RuthsChris &amp; all of these companies. This is American Greed! <user> <user> <user>	Is this tweet offensive?	0
140	<user> <user> <user> <user> <user> Foolishness?	Is this tweet offensive?	0
141	<user> <user> TRUMP GOT UNDER BIDENS SKIN IT WAS OBVIOUS HE KEPT SAYING SHUT UP AND RASCIST AND CLOWN😆 EXTREMELY UNPRESIDENTIAL	Is this tweet offensive?	1
142	200,000 Americans have died from #coronavirus because of <user> failed responses and he’s acting like he’s on his reality game show.	Is this tweet offensive?	0
143	Saw this on TV this morning.	Is this tweet offensive?	0
144	And this is the bullshit that #FoxNews promotes to the #MAGA about #JoeBiden and the #Democratic agenda  My question: WHY is #DonaldTrumpJr talking like an advisor of politics ?🤔  Isn't he supposed to be separate from his father #Trump in the WH while running the family business	Is this tweet offensive?	1
145	<user> <user> Trump cheated on all his wives, <user> while she was pregnant &amp; nursing Barron. Cheated his brothers, sister &amp; niece of his father's estate. Cheated USA of federal taxes. Caged little children &amp; separated them from parents. Why would anyone want to reward a CHEATER IN CHIEF?<user>	Is this tweet offensive?	1
146	It’s one thing to be silent it’s another thing to be silent for so long and when you finally speak your speaking on the looting instead of George Floyd. Pathetic af.	Is this tweet offensive?	0
147	After this COVID shit Netflix gonna keep buying up these movie theaters. They trying to make that Amazon money 💰	Is this tweet offensive?	0
148	These ‘we need them for education!’ arguments can get in the drink because I had no idea who this guy was and that statue’s been there for yonks. Sounds like a racist, money-grabbing wanker. Again, the removal provides the education. #blm <url>	Is this tweet offensive?	1
149	Bernie sanders predicted this, now trump wants to stop all vote counts... this is fucking insane #Elections2020  #2020Election  <url>	Is this tweet offensive?	0
150	This is an example; of showing love and care	Is this tweet offensive?	0
151	<user> <user> <user> I'm not convinced any of you dipshits know what the word Socialism means, it's just a big scary buzzword you've been taught to be afraid of.	Is this tweet offensive?	1
152	<user> <user> <user> Both the officers who murdered George Floyd and the violent rioters who are endangering thousands of lives need to be arrested IMMEDIATELY.	Is this tweet offensive?	0
153	The way I would’ve made my dog tear his ass up! In front of my house with all that noise for a damn windshield	Is this tweet offensive?	1
154	You are a hyprocrite. You don’t want George Floyd to have died in vain? Arrest and condemn his MURDERERS. You want his memory to be respected? Do something about the racism and police brutality ongoing in your country. <url>	Is this tweet offensive?	0
155	<user> Fulla crap sleepy joe	Is this tweet offensive?	1
156	<user> <user> I love seeing trump lose, it's my daily medicine, my weekly energy, my monthly inspiration and my yearly motivation. his loss is the only reason i'm still alive, i was born to love and enjoy the unsuccess that he has achieved 😋😍	Is this tweet offensive?	0
157	<user> No one has been more wrong, more often than Trump. He DIDN’T win against Covid. He’s the only president to have been impeached, since Nixon. He’s got no business acumen at all. His entire family are scum who operate more like a Mafia family, and he’s a bigot and a racist.	Is this tweet offensive?	1
158	"<user> <user> <user> <user> <user> You can’t be serious. I’m not part of some ""Army"" if I was wouldn’t be laboring to attempt you to see how ridiculously flawed your defenses are Again, no one knows either way about the stutter however there are clear signs of decline which can be expected from an elderly citizen"	Is this tweet offensive?	0
159	the way these cops shouldn’t even have a fucking bail.. #BlackLivesMatter	Is this tweet offensive?	1
160	HE SHOULD GET NOTHING FOR WHAT HE DID.	Is this tweet offensive?	0
161	<user> And yet you are running with a man you’ve described as racist	Is this tweet offensive?	0
162	Holy fuck...  😳   #CoronaOutbreak #COVIDー19 <url>	Is this tweet offensive?	1
163	MSM headlines expose systematic racism &amp;cover up of evil agenda:  Headlines that more blacks r dying of #COVID19 targets  Headline that more elderly are dying was followed by WHO &amp;govts neglect of elderly,denied of care &amp; murdered  Like they did with elderly,they r killing blacks <url>	Is this tweet offensive?	0
164	This guy needs to GO AWAY. <url>	Is this tweet offensive?	0
165	can you believe the shittery from this asshole	Is this tweet offensive?	1
166	<user> especally the phony	Is this tweet offensive?	0
167	He never will and <user>  enabling murder of Americans	Is this tweet offensive?	0
168	<user> Only when he closes his mouth.	Is this tweet offensive?	0
169	These guys will make up stuff just so they can prove a point, like Trump, nobody believes a word they say because they’re all dishonest.	Is this tweet offensive?	0
170	The Choice Was Clear...  Either Stand For What's Right....  Or please 45, I Have No Sympathy For These People.  #BlackLivesMatter <url>	Is this tweet offensive?	0
171	Don't let Stonewall go under! #LGBTQCommunity <url>	Is this tweet offensive?	0
172	<user> Has to be George Floyd, surely? Anyone objecting shows themselves as a racist.	Is this tweet offensive?	0
173	From world-beating to beaten by the rest of the world. This is a shambles. <url>	Is this tweet offensive?	0
174	<user> was today years old when they figured out the confederate flag was a racist symbol. 6/10/20 #BlackLivesMatter <url>	Is this tweet offensive?	0
175	penis fingers...	Is this tweet offensive?	1
176	<user> <user> <user> I loved the contrast of Biden laughing at Trump, and Trump making that puckered asshole face he likes to make with his mouth.	Is this tweet offensive?	1
177	SOB's the lot of them.	Is this tweet offensive?	1
178	<user> <user> <user> <user> Enjoy your second amendment right and carry a firearm.. stop the rape before it happens.. if your able to that is	Is this tweet offensive?	1
179	You're a good man Pete! 💖💖💖 <url>	Is this tweet offensive?	0
180	🚨Urgent Request to SHARE~RT Needs EYES  DIRECT🚨ASSAULT on the Constitution &amp; Declaration of War against We The People  <user> <user> <user> <user> <user> <user> <user> <user> <user> <url>	Is this tweet offensive?	0
181	<user> <user> Will you shut up man? 😂	Is this tweet offensive?	0
182	George Floyd is not the hero we wanted but he is the criminal we deserve.	Is this tweet offensive?	0
183	<user> They haven’t even arrested the first vandal yet...  Almost all the vandalism and violence is started by cops and/or white supremacists <url>	Is this tweet offensive?	0
184	<user> COVID needs to screw off. So many goals belly up because of this garbage. I feel for ya, hermano.	Is this tweet offensive?	0
185	We are failing America.	Is this tweet offensive?	0
186	Amazing job by <user> diolch guys 😊 Was politely stopped and questioned today by a friendly officer (I live two streets away from the beach). Please stay local and help make their job easier- it’s no fun for them having to turn people away	Is this tweet offensive?	0
187	<user> <user> <user> So you are saying no her parents did not start the black panther party. Learn how to comprehend English.	Is this tweet offensive?	0
188	Don't let this guy back to South Carolina till he signs!! His constituents should be enraged and engaged!!!	Is this tweet offensive?	0
189	So sad about this news. #BoycottAETV	Is this tweet offensive?	0
190	World looks on in horror as Trump flails over pandemic despite claims US leads way <url>	Is this tweet offensive?	0
191	<user> So if guns killed 150 million and covid 600,000 why is traffic so bad on I-25?	Is this tweet offensive?	0
192	<user> got the second personal insult in too - calling <user> a 'clown'. Again, not that he was wrong, far from it, but he was the one who went ugly early.	Is this tweet offensive?	0
193	Thank you for showing your support for anarchy, chaos &amp; destruction. #resign #moron	Is this tweet offensive?	1
194	<user> <user> <user> <user> First.  You voted for a racist black face Prime Minister who is up to his neck and ethics violations. You have no moral or intellectual ground to stand on here or anywhere.  Second. If you pulled your head out of CNN’s ass, do you know how ridiculous this post is of yours: <url>	Is this tweet offensive?	1
195	This is beyond wrong.	Is this tweet offensive?	0
196	When tomorrow’s the day your package is supposed to arrive and ... lol. Fuck you FedEx . I bet $5 it’ll arrive Friday or Monday ... Covid or not it’s always like this. <url>	Is this tweet offensive?	1
197	"Floyd’s family should sue for $1million. Eye for an eye! We should’ve had  #PoliceReform and avoid racist like that to ""protect and serve"" ... or should I say murder.   It’s enough, we need change! #BlackLivesMattters"	Is this tweet offensive?	0
198	Pervert demented corrupt biden will rejoin  worthless horrendous orangutans, appease iran, appease china and swim naked in the White House pool. The world will be more dangerous. <url>	Is this tweet offensive?	1
199	<user> You don’t teargas American citizens for a photo op #blacklivesmatter #theresistancewillbeelevised #getyourkneeoffournecks #GeorgeFloyd	Is this tweet offensive?	0
200	Coronavirus Patients in China to be Treated with High-Dose Vitamin C in New Clinical Trial  Read article here&gt;&gt; <url>  #VitCIV #Coronavirus #China <url>	Is this tweet offensive?	0
201	"<user> Beaten. ""LIKE A DOG"" thrown out. Disaster looming. ✅Cold. Considered. Deliberate. Planned. Coronacide! Genocidal mass murder? Laughingstock. ✅ <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user>"	Is this tweet offensive?	1
202	<user> <user> GUILTY! <user> de Blasio KILLED 5,000 New Yorkers by FORCING Nursing Homes to accept #COVID19!  He also KILLED dozens and injured hundreds by inciting Democrat Criminals to violence against the #NYPD!  He facilitated #ANTIFA &amp; #BLM Democrat Terrorists! <url>	Is this tweet offensive?	1
203	Honestly think this administration thinks Americans have an IQ of an orangutan.	Is this tweet offensive?	0
204	Trump MAGOTS!	Is this tweet offensive?	1
205	This reeks of white privilege	Is this tweet offensive?	1
206	"<user> No testing strategy, no ""back to school"" strategy, epic failure in #COVIDー19 response, trump has no interest in saving Americans, worst POTUS ever and enabled by cowardly <user> , why do they hate Americans so much that they put greed over Country? <url>"	Is this tweet offensive?	1
207	<user> I can’t wait to see you hand <user> his ass next week!	Is this tweet offensive?	1
208	<user> In Minneapolis 4 white officers killed a black man by choking him to death, In New York white officers killed a black man for selling cigarettes, and the list goes on, and on, and on, x’s 50+ years!!!	Is this tweet offensive?	0
209	College Football in Coronavirus Quarantine: On this day in CFT history, including Nick Saban lobbing a ‘kiss my ass’ at a media member’s question <url>	Is this tweet offensive?	1
210	<user> Vote for Biden <user>  Again whom is writing this, the moron 🤡 can't figure it out.  its 🤡 shadow is a trail of death. 236.072 ☠️🦠  <user> 🤡 <user> 👹 <user> <user> = #nepotism #inbreeding #racism #facism #morons #inepitude #kakistocracy #Dystopia	Is this tweet offensive?	1
211	This is a BULLSHIT STORY!  Georgia confirms healthy 7-year-old is state's youngest coronavirus-related death  <url>	Is this tweet offensive?	1
212	<user> <user> <user> I can’t understand how some voters are still undecided.  How are voters asking <user> to explain his plan? The plan is that we need to get rid of the orange clown cause we know his agenda, destroy America.  #VoteHimOut  #VoteBlueToSaveAmerica  #BidenHarris2020	Is this tweet offensive?	0
213	Let’s hope you get answers	Is this tweet offensive?	0
214	<user> #DefundTheBBC #racists  #BlackLivesMatter <user> <user> <user>  #ShamimaBegum  You can take our everything you'll never take my mind or will you <user> <user> <url>	Is this tweet offensive?	0
215	"I’m sorry but this violence ""protesting"" is disgusting and I would believe something Mr. George Floyd would not want in his name #JusticeForGeorgeFlyod #peacefulprotesting #violencedoesntmakeitbetter"	Is this tweet offensive?	0
216	<user> <user> So you support pedophilia and communist China? Neither of those are civilized.	Is this tweet offensive?	0
